rebrickable_fig_num,bricklink_minifig_id,match_score,trusted
fig-000306,scaFemA05,85.5,yes
fig-000775,x30,85.5,yes
fig-000657,aqu001,100.0,yes
fig-000034,aqu002,100.0,yes
fig-002312,aqu003,100.0,yes
fig-000848,aqu004,100.0,yes
fig-000260,aqu005,100.0,yes
fig-005774,aqu006,100.0,yes
fig-005773,aqu007,100.0,yes
fig-000356,aqu008,100.0,yes
fig-006324,aqu009,90.0,yes
fig-002331,aqu010,72.0,no
fig-016456,aqu011,90.0,yes
fig-002750,aqu012,90.0,yes
fig-002750,aqu013,90.0,yes
fig-002750,aqu014,90.0,yes
fig-000010,cas004,85.5,yes
fig-000010,cas006,85.5,yes
fig-000010,cas008,85.5,yes
fig-000005,cas009,85.5,yes
fig-000010,cas010,85.5,yes
fig-006546,cas011,90.0,yes
fig-004420,cas012,90.0,yes
fig-000004,cas013,85.5,yes
fig-000004,cas014,85.5,yes
fig-000004,cas015,85.5,yes
fig-000004,cas016,85.5,yes
fig-000004,cas017,85.5,yes
fig-000004,cas018,85.5,yes
fig-008777,cas019,90.0,yes
fig-002072,cas022,90.0,yes
fig-002072,cas023,90.0,yes
fig-002072,cas026,90.0,yes
fig-002072,cas027,90.0,yes
fig-002072,cas029,90.0,yes
fig-002072,cas030,90.0,yes
fig-002072,cas032,90.0,yes
fig-000004,cas033,85.5,yes
fig-000061,cas034,85.5,yes
fig-006546,cas035,90.0,yes
fig-000007,cas036,85.5,yes
fig-006546,cas037,90.0,yes
fig-006546,cas039,90.0,yes
fig-007670,cas041,86.0,yes
fig-007739,cas042,85.7,yes
fig-000760,cas043,86.6,yes
fig-006546,cas044,90.0,yes
fig-000010,cas045,85.5,yes
fig-000004,cas046,85.5,yes
fig-012094,cas048,90.0,yes
fig-012094,cas049,90.0,yes
fig-012094,cas050,90.0,yes
fig-012094,cas051,90.0,yes
fig-012094,cas052,90.0,yes
fig-012094,cas053,90.0,yes
fig-001344,cas054,90.0,yes
fig-001344,cas055,90.0,yes
fig-012094,cas056,90.0,yes
fig-012094,cas057,90.0,yes
fig-012094,cas058,90.0,yes
fig-006546,cas059,90.0,yes
fig-006546,cas060,90.0,yes
fig-000007,cas061,85.5,yes
fig-006546,cas063,90.0,yes
fig-006546,cas064,90.0,yes
fig-000010,cas065,85.5,yes
fig-000010,cas066,85.5,yes
fig-000003,cas067,85.5,yes
fig-004420,cas072,90.0,yes
fig-004420,cas073,90.0,yes
fig-000004,lom001,85.5,yes
fig-000005,lom002,85.5,yes
fig-000007,lom003,85.5,yes
fig-006974,lom004,90.0,yes
fig-006974,lom005,90.0,yes
fig-006974,lom006,90.0,yes
fig-006974,lom007,90.0,yes
fig-006974,lom008,90.0,yes
fig-006974,lom009,90.0,yes
fig-006974,lom010,90.0,yes
fig-006974,lom011,90.0,yes
fig-006974,lom012,90.0,yes
fig-000061,lom013,85.5,yes
fig-000061,lom014,85.5,yes
fig-000053,lom015,85.5,yes
fig-000053,lom016,85.5,yes
fig-000053,lom017,85.5,yes
fig-004556,pi001,90.0,yes
fig-005293,pi004,86.9,yes
fig-000382,pi005,86.2,yes
fig-000003,pi006,85.5,yes
fig-000004,pi008,85.5,yes
fig-000003,pi009,85.5,yes
fig-004724,pi010,85.7,yes
fig-005206,pi012,89.5,yes
fig-000010,pi013,85.5,yes
fig-004725,pi014,86.1,yes
fig-000011,pi015,85.5,yes
fig-000011,pi016,85.5,yes
fig-000003,pi017,85.5,yes
fig-000003,pi018,85.5,yes
fig-000003,pi019,85.5,yes
fig-000003,pi020,85.5,yes
fig-000003,pi021,85.5,yes
fig-000004,pi022,85.5,yes
fig-000004,pi023,85.5,yes
fig-005219,pi024,86.2,yes
fig-000004,pi025,85.5,yes
fig-000004,pi026,85.5,yes
fig-001119,adv001,100.0,yes
fig-002227,adv002,90.0,yes
fig-000464,adv003,90.0,yes
fig-000464,adv004,90.0,yes
fig-000464,adv005,90.0,yes
fig-000631,adv006,90.0,yes
fig-002252,adv008,93.3,yes
fig-000195,adv009,100.0,yes
fig-000359,adv010,100.0,yes
fig-011034,adv012,90.0,yes
fig-000628,adv014,100.0,yes
fig-000821,adv015,90.0,yes
