set_num,bricklink_minifig_id,quantity
10000-1,cas095,1
10000-1,cas105,1
10000-1,cas182,1
10000-1,cas237a,1
10001-1,trn045,1
10001-1,trn050,1
10001-1,trn065,1
10001-1,trn006,1
10001-1,trn010,1
10001-1,trn023,1
10001-1,trn027,1
10001-1,trn038,1
10001-1,trn039,1
10001-1,trn040,1
10001-1,trn003,1
10002-1,trn008,1
10002-1,trn011,1
10002-1,trn035,1
10002-1,trn036,1
10002-1,trn037,1
10020-1,trn080,1
10020-1,trn081,1
10020-2,trn080,1
10020-2,trn081,1
10027-1,trn001,1
10027-1,trn076,1
10027-1,trn131,1
10029-1,sp060,2
10036-1,chef005,1
10036-1,ovr011,1
10036-1,fbr001,1
10037-1,ncklc003,1
10037-1,chef001,1
10037-1,trn083,1
10037-1,trn084,1
10037-1,wtr002,1
10039-1,cas217,1
10039-1,cas218,1
10039-1,cas253,2
10039-1,cas254,2
10040-1,pi005,1
10040-1,pi009,1
10040-1,pi040,1
10040-1,pi042,1
10040-1,pi055,1
10040-1,pi056,1
10040-1,pi198,1
10040-1,pi199,1
10041-1,cop015,1
10041-1,jred010,2
10041-1,chef002,1
10041-1,but011,1
10041-1,trn089,1
10041-1,but015,1
10041-1,ncklc012,1
10052-1,4555pb051,1
10052-1,4555pb052,1
10066-1,gen001,1
10121-1,nba050,1
10121-1,nba051,1
10121-1,nba052,1
10121-1,nba053,1
10121-1,nba054,1
10123-1,sw0004,1
10123-1,sw0036,1
10123-1,sw0045,1
10123-1,sw0103,1
10123-1,sw0104,1
10123-1,sw0105,1
10123-1,sw0107,1
10128-1,trn075,1
10128-1,trn002,1
10131-1,sw0004a,1
10131-1,sw0035a,2
10131-1,sw0143,1
10132-1,hp042,1
10132-1,hp046,1
10132-1,hp057,1
10132-1,hp058,1
10133-1,trn075,1
10133-1,trn076,1
10133-1,trn131,1
10134-1,sw0029,1
10144-1,sw0028,1
10144-1,sw0140,1
10144-1,sw0141,3
10144-1,sw0142,1
10144-1,sw0145,1
10144-1,sw0146,1
10144-1,sw0147,1
10144-1,sw0073a,1
10144-1,sw0010,1
10144-1,sw0161,1
10144-1,sw0161a,1
10156-1,tel004,1
10157-1,trn115,1
10157-1,trn117,1
10158-1,trn116,1
10158-1,trn004,1
10159-1,oct012,1
10159-1,cop002,1
10159-1,pck002,1
10159-1,par056,1
10159-1,par031b,1
10159-1,air021,1
10159-1,air010,1
10159-1,air002,1
10159-1,air024,1
10159-1,air009,1
10159-1,air028,1
10159-1,air007,1
10159-1,air026,1
10159-1,air008,1
10159-1,air027,1
10159-1,par048,1
10159-1,twn037,1
10159-1,jbr001,1
10159-1,jbr001a,1
10159-2,oct012,1
10159-2,cop002,1
10159-2,air002,1
10159-2,air007,1
10159-2,air008,1
10159-2,air009,1
10159-2,pck002,1
10159-2,par048,1
10159-2,par056,1
10159-2,par031b,1
10159-2,air021,1
10159-2,air010,1
10159-2,jbr001,1
10159-2,jbr001a,1
10173-1,trn115,1
10173-1,trn123,1
10173-1,trn124,1
10173-1,trn125,1
10173-1,trn126,1
10173-1,trn127,1
10173-1,trn131,1
10176-1,gen004,2
10176-1,cas302,1
10176-1,cas303,1
10176-1,cas304,1
10176-1,cas305,2
10176-1,cas308,1
10176-1,cas309,1
10176-1,cas306,1
10176-1,gen022,1
10176-1,cas307,1
10178-1,sw0115,1
10178-1,sw0090,1
10178-1,sw0177,1
10178-1,sw0178,1
10179-1,sw0011a,1
10179-1,sw0174,1
10179-1,sw0175,1
10179-1,sw0176,1
10179-1,sw0179,1
10182-1,twn040,1
10182-1,twn041,1
10182-1,pln113,1
10184-1,twn065,1
10184-1,twn066,1
10184-1,twn067,1
10184-1,twn068,1
10184-1,twn069,1
10184-1,twn070,1
10184-1,oct061,1
10184-1,oct062,1
10185-1,twn071,1
10185-1,twn072,1
10185-1,twn073,1
10185-1,twn074,1
10188-1,sw0011a,1
10188-1,sw0157,1
10188-1,sw0156,1
10188-1,sw0040b,2
10188-1,sw0176,1
10188-1,sw0188,2
10188-1,sw0161a,1
10188-1,sw0204,1
10188-1,sw0207,1
10188-1,sw0209,1
10188-1,sw0210,1
10188-1,sw0212,1
10188-1,sw0213,1
10188-1,sw0215,1
10188-1,sw0217,1
10188-1,sw0175,1
10188-1,sw0175b,1
10188-1,sw0179,1
10188-1,sw0179a,1
10188-1,sw0208,2
10188-1,sw0208a,2
10188-1,sw0205,1
10188-1,sw0205a,1
10188-1,sw0206,1
10188-1,sw0336,1
10188-1,sw0211,1
10188-1,sw0211a,1
10190-1,twn044,1
10190-1,ovr032,1
10190-1,twn045,1
10191-1,sp089,1
10191-1,sp086,2
10191-1,sp087,1
10191-1,sp088,1
10191-1,sp090,3
10191-1,sp086s,2
10191-1,sp087s,1
10191-1,sp088s,1
10192-1,sp085,4
10192-1,sp085sa,1
10192-1,sp085sb,3
10193-1,cas371,1
10193-1,cas404,1
10193-1,cas408,1
10193-1,cas409,1
10193-1,cas411,1
10193-1,cas412,1
10193-1,cas413,1
10193-1,cas410,1
10193-1,cas410a,1
10194-1,trn144,1
10194-1,pln158,1
10194-1,trn146,1
10195-1,sw0191,2
10195-1,sw0201,6
10196-1,twn080,1
10196-1,twn081,1
10196-1,twn084,1
10196-1,twn085,1
10196-1,twn086,1
10196-1,twn087,1
10196-1,twn088,1
10196-1,twn083,1
10196-1,twn095,1
10196-1,twn082,1
10196-1,twn094,1
10197-1,pln161,1
10197-1,twn091,1
10197-1,twn092,1
10197-1,twn093,1
10198-1,sw0187,1
10198-1,sw0161a,1
10198-1,sw0217,1
10198-1,sw0256,1
10198-1,sw0175,1
10198-1,sw0175a,1
10199-1,hol001,1
10199-1,hol002,1
10199-1,twn059,1
10199-1,twn058,1
10199-1,twn055,1
10199-1,twn056,1
10199-1,twn056a,1
10199-1,twn090,1
10199-1,twn090a,1
10200-1,rac038,1
10200-1,rac039,1
10200-1,rac040,1
10200-1,rac041,1
10210-1,pi087,1
10210-1,pi090,1
10210-1,pi098,1
10210-1,pi116,1
10210-1,pi117,1
10210-1,pi118,1
10210-1,pi119,1
10210-1,pi120,1
10210-1,pi121,1
1021-1,dupfig007,2
1021-1,dupfig011,2
1021-1,dupfig013,2
1021-1,dupfig001r,2
1021-1,dupfig018,2
1021-1,dupfig024,2
10211-1,twn100,1
10211-1,twn101,1
10211-1,twn102,1
10211-1,twn103,1
10211-1,twn104,1
10211-1,twn105,1
10211-1,twn106,1
10212-1,sw0188,1
10212-1,sw0277,1
10212-1,sw0294,1
10212-1,sw0292,1
10212-1,sw0293,1
10213-1,sp122,1
10213-1,sp120,1
10213-1,sp121,1
10216-1,twn119,1
10216-1,twn120,1
10216-1,twn122,1
10216-1,twn124,1
10216-1,twn125,1
10216-1,twn121,1
10216-1,twn121a,1
10216-1,twn123,1
10216-1,twn123a,1
10217-1,gen001,1
10217-1,hp087,1
10217-1,hp091,1
10217-1,hp104,1
10217-1,hp111,1
10217-1,hp117,1
10217-1,hp118,1
10217-1,hp119,1
10217-1,hp121,1
10217-1,hp122,2
10217-1,hp123,1
10218-1,twn137,1
10218-1,twn138,1
10218-1,twn139,1
10218-1,twn140,1
10219-1,trn149,1
10219-1,trn150,1
10219-1,trn151,1
1022-1,dupfig011,1
1022-1,dupfig015,1
10221-1,sw0277,1
10221-1,sw0280,1
10221-1,sw0350,1
10221-1,sw0351,1
10221-1,sw0352,1
10222-1,twn145,1
10222-1,twn146,1
10222-1,twn147,1
10222-1,twn148,1
10222-1,twn149,1
10222-1,twn150,1
10222-1,twn151,1
10223-1,cas486,1
10223-1,cas499,1
10223-1,cas500,1
10223-1,cas501,1
10223-1,cas502,1
10223-1,cas503,1
10223-1,cas504,1
10223-1,cas505,1
10223-1,cas506,1
10224-1,twn155,1
10224-1,twn156,1
10224-1,twn157,1
10224-1,twn158,1
10224-1,twn159,1
10224-1,twn160,1
10224-1,twn161,1
10224-1,twn162,1
10225-1,sw0217,1
10228-1,mof007,1
10228-1,mof008,1
