bricklink_minifig_id,avg_price,min_price,max_price
ac011,30.4625,19.0086,55.1000
adv003,5.1590,2.1786,25.0000
adv006,3.4080,1.0000,29.9900
adv010,3.3160,0.5000,30.0000
adv021,12.3288,5.2565,42.0000
adv023,8.9270,3.9900,29.2500
adv033,5.1382,2.3362,18.3954
adv035,4.2937,1.7522,15.0000
adv037,5.6609,2.6910,19.5000
adv038,4.0227,1.4524,25.0000
adv041,4.5644,2.1094,15.0000
adv042,14.7656,6.8131,39.9860
agt001,2.0756,0.7262,6.5797
agt002,2.6634,1.1681,12.8200
agt030,5.4989,2.3312,29.9900
ang004,3.1147,1.0893,15.0000
aqu001a,3.3765,1.4250,20.3729
aqu007,5.1502,1.9858,35.0000
atl003,2.7784,0.6677,39.9900
atl004,3.1160,0.5841,30.0000
bat013,67.1727,29.9618,156.2507
bat019,66.4867,24.9900,142.4800
bat020,28.4211,16.3417,40.8650
cas008,35.8607,16.0000,146.0800
cas022a,5.2877,2.3245,27.7313
cas048,5.2105,1.4017,84.4300
cas050,4.7886,1.7400,30.0000
cas167,196.5875,102.5053,443.3300
cas206,21.4559,8.0000,148.0000
cas249,8.5394,4.0540,82.0100
cas266,7.5465,3.5000,55.3000
cas271,8.4150,4.6794,38.6900
cas327,5.4985,2.8961,38.0000
cas382,8.0677,4.9810,33.3900
cas418,8.8408,4.3572,17.5920
cas422,20.0530,8.6884,83.1300
cas448,7.4727,4.3468,25.0500
cas498,10.0348,6.4648,59.9900
cas520,8.0941,3.8250,26.4400
cas524,21.4340,11.3826,86.7839
cas525,9.0322,3.4000,37.3800
cas530,8.2727,5.2214,27.7700
cas581,12.7679,10.3559,17.2835
col002,6.5306,3.2982,17.5700
col006,6.3978,2.9203,22.6200
col009,5.5089,2.6563,25.7700
col017,8.8200,4.9387,28.9000
col018,22.2325,14.4099,109.8000
col020,7.6051,3.9961,25.0000
col022,2.7184,1.1564,11.7200
col029,4.8574,1.3626,14.2700
col030,3.7264,0.7106,11.1815
col031,7.6146,2.9048,23.0100
col033,5.5172,3.1606,14.0701
col034,7.8895,4.2228,26.7000
col035,6.2938,3.0554,14.9752
col042,27.5275,14.2122,40.0000
col044,3.9999,2.3245,13.6200
col045,4.7740,2.1786,18.3750
col047,5.1204,2.3245,17.5215
col048,11.8066,5.3482,81.4100
col049,5.3228,2.7252,15.3599
col050,9.7829,4.2923,31.6600
col052,3.9649,1.6351,15.4950
col053,2.7274,1.0765,8.8000
col057,3.2165,0.6435,13.0200
col061,12.6998,7.0387,59.9900
col066,10.8796,4.7010,42.2600
col068,3.7432,1.9758,13.9500
col069,3.9873,1.2935,19.9900
col072,3.9679,1.8750,12.2500
col073,3.7871,1.3757,13.6126
col075,3.8336,2.0000,12.0906
col076,15.9633,9.3448,48.2133
col078,5.8086,1.0659,12.7010
col080,3.6822,1.0000,17.3700
col081,8.5903,4.6724,17.0547
col082,5.0538,1.7033,20.0300
col086,3.6807,0.9900,11.7712
col089,6.1075,3.4926,18.5200
col090,22.1352,13.1011,58.8600
col092,2.7744,1.2264,9.0000
col093,3.9193,1.4601,12.5200
col094,4.9651,1.6351,40.0000
col097,5.1944,2.0091,14.6400
col098,9.7651,5.4505,27.1800
col099,12.9738,2.4871,35.8500
col104,5.3771,1.9758,15.7800
col105,3.2671,1.4524,9.1800
col109,10.9493,2.1318,39.1800
col110,13.3769,8.1427,35.0000
col111,3.7655,1.5943,22.3189
col112,6.9350,4.5964,29.1300
col114,28.2934,6.8131,97.4100
col115,13.0375,7.4900,35.6000
col117,8.0486,4.0742,24.9400
col118,12.6019,7.9686,35.4200
col119,4.5056,2.3245,31.6500
col122,3.3901,1.0819,37.8100
col125,4.9053,2.1026,17.3100
col127,8.1604,3.5870,24.0000
col128,15.6079,7.8167,30.9900
col131,13.0041,7.0086,21.5400
col132,24.3381,13.6262,98.0000
col135,6.2457,3.2590,16.3369
col136,6.7701,2.3245,13.3200
col137,15.1784,10.2197,31.2669
col139,4.2699,2.1318,17.6568
col141,4.0913,2.1318,9.5247
col142,4.6489,2.6481,25.9900
col143,26.9327,16.3534,69.9900
col147,20.2546,10.6592,84.9300
col149,6.5266,1.4524,82.2900
col151,23.5899,12.0000,66.9466
col153,2.8755,1.3566,11.7400
col156,12.5950,6.6087,42.5300
col157,4.5893,1.9417,14.0400
col158,5.4440,2.4430,21.1056
col160,3.3271,0.9718,29.9900
col162,11.0509,5.3382,48.0000
col167,24.6339,17.7141,40.0000
col171,2.3850,0.8177,7.8500
col178,4.5776,1.8750,16.2500
col180,12.6825,4.6190,39.8200
col181,6.2675,2.3582,11.0000
col183,11.0469,5.7666,28.0700
col184,3.7987,1.7429,15.0568
col185,7.1239,4.5945,26.9100
col186,6.8279,3.5000,24.0600
col188,3.0332,0.9000,9.6700
col193,4.8177,0.8761,12.5000
col195,28.7013,17.4415,68.9200
col197,10.5814,5.1563,35.0430
col200,3.3982,1.7300,12.4950
col202,4.9081,2.1500,13.4910
col204,9.1537,5.0834,26.9994
col206,4.4761,2.0000,16.6725
col207,3.9979,1.4844,16.4400
col208,13.5768,9.5125,26.5980
col209,4.3654,2.6866,8.5212
col210,4.1661,2.0313,15.6400
col212,6.6463,4.0000,18.4700
col213,3.5490,1.6937,12.6300
col215,4.2837,1.7405,15.0568
col216,5.9027,3.3641,18.0200
col218,6.1746,3.0000,15.6334
col219,4.6990,2.8726,13.6126
col222,3.5081,1.5721,14.4750
col223,5.7042,3.5531,12.0906
col225,6.8543,3.3456,43.3500
col230,23.0092,16.3396,40.8843
col231,3.1932,1.5943,24.0000
col233,7.2548,3.1250,19.9131
col238,5.0579,2.9203,15.0000
col239,2.7157,1.1582,8.1621
col240,5.9947,3.4066,18.5400
col241,2.6069,1.1564,7.3600
col242,2.8357,1.0980,8.9900
col245,4.3318,2.0313,24.9900
col247,5.5796,3.3729,18.0000
col248,4.1758,1.7033,24.9800
col250,2.7517,1.0893,9.3500
col252,5.0314,3.2617,21.7862
col253,6.4524,3.7472,16.3378
col254,21.5524,13.3000,96.6450
col255,2.2899,0.8661,8.2350
col257,4.2725,1.5234,60.9500
col258,7.5148,4.2923,35.8950
col259,3.6275,2.1071,11.9400
col260,7.9126,3.4066,40.8786
col261,12.4323,9.1977,31.2669
col262,4.6972,3.5696,6.5359
col263,18.1765,12.0000,55.1600
col264,7.8091,5.4097,19.7100
col265,6.7566,2.9048,12.3000
col266,5.2378,2.4527,10.0000
col267,4.9500,2.3165,15.0000
col268,3.7744,1.9639,7.3100
col269,3.4192,1.9758,7.0627
col270,4.1373,2.2620,15.7100
col272,7.3168,4.2400,13.7979
col277,2.9249,1.4601,9.6200
col278,9.3813,0.0007,13.6126
col279,2.3547,0.9228,14.6094
col280,9.2923,5.0834,34.3600
col281,6.5577,3.5000,19.3500
col282,1.9569,1.0000,7.5900
col283,2.1095,0.6830,6.1200
col284,3.9313,2.8976,9.1060
col285,4.7702,2.2500,15.5600
col286,3.3282,1.7728,23.9900
col287,2.9892,1.5670,23.9900
col289,6.3148,2.8424,29.9900
col291,4.1584,2.1000,13.8300
col294,3.2730,0.9804,25.9900
col295,6.8315,4.1898,28.0000
col299,3.1703,1.3626,25.9900
col300,13.0180,6.8921,59.9900
col302,5.0112,2.8388,13.1900
col303,4.8882,2.3846,13.9600
col304,10.1124,5.4505,12.8472
col305,7.8237,5.4505,23.9100
col306,17.7604,7.6443,60.2700
col307,15.3328,10.1669,43.1900
col308,2.3092,1.1039,12.7200
col309,3.6958,1.6900,13.7300
col310,5.4266,2.8437,13.6000
col311,2.2727,1.0755,4.4200
col313,4.8898,2.8424,22.8900
col316,4.7602,2.2291,14.4000
col317,3.2416,1.9147,7.0000
col318,12.8973,7.0000,27.3898
col322,7.8454,4.6481,29.9900
col323,6.2900,3.5043,15.0000
